datasetid,recordid,nom_parking,company,adresse,ville,code_postal,geo,gares_id,24/24,time_opening,time_closing,prix_jour,prix_semaine,camera,handicape,hauteur_maximum,nombre_de_places
parking,106,"Parking Pontoise Gare 
",Effia,26 Avenue du Marchal Canrobert,Pontoise,95300,"49.0461602177, 2.09313418803",677,TRUE,0.00,0.00,10.30,20,TRUE,TRUE,1.9,320
parking,85,Parking Fontaine Cornaille,Effia,Rue de la Gare,Quincy-sous-Snart,91480,"48.6791271, 2.5349827",105,TRUE,0.00,0.00,920,,FALSE,TRUE,1.85,240
parking,113,"Parking Boussy-Saint-Antoine 
",Effia,"        
6 Rue des 2 Communes",Quincy-sous-Snart,91480,"48.680680, 2.535160",105,TRUE,0.00,0.00,8.50,,FALSE,TRUE,1.9,300
,134,Parking Gare de Ris-Orangis,Ville,11 Place de la Gare,Ris-Orangis,91130,,740,TRUE,0.00,0.00,0,0,FALSE,TRUE,1.9,400
parking,128,Parking La Louvière,Indigo, 2 Place de la Louvière,Saint-Maur-des-Fossés,94100,"48.805050,2.485840",826,TRUE,0.00,0.00,,,TRUE,TRUE,1.9,255
parking,129,Parking Marché,Ville,12 Place des Marronniers,Saint-Maur-des-Fossés,94100,"48.805400,2.497810",142,TRUE,0.00,0.00,25.00,45.00,FALSE,TRUE,100,20
parking,80,Parking Saint-Ouen l'Aumne - Liesse,Indigo,4 Rue du Champ Gaillard,Saint-Ouen-l'aumone,95310,"49.0335205369, 2.12781740826",834.832,TRUE,0.00,0.00,8.50,,TRUE,FALSE,1.9,124
parking,82,Parking Souppes Chateau-Landon,Effia,26 avenue du marechal leclerc,Souppes-sur-Loing,77460,"48.1812355826, 2.73673930967",r,TRUE,0.00,0.00,,,,,,
parking,93,"Parking Gare De Lagny Thorigny
",SAEMES,Rue D'Orgemont,Thorigny-sur-Marne,77400,"48.8820061352, 2.70842926028",417,TRUE,0.00,0.00,12.30,,FALSE,TRUE,100,50
parking,66,Parking Vaires Centre Ville,Saemes,rue de la Gare,Vaires-sur-Marne,77360,"48.874147, 2.640764",866,TRUE,0.00,0.00,18.4,,TRUE,TRUE,1.9,93
parking,67,Parc Relais Vaires Torcy,Saemes,17 avenue des Mésanges,Vaires-sur-Marne,77360,"48.8759, 2.64306
",866,TRUE,0.00,0.00,8.5,17,TRUE,TRUE,1.9,241
parking,103,"Parking Moret Veneux-les-Sablons
",Effia,"	
50 Avenue de la Gare,","Veneux les sablons
",77250,"48.3779378, 2.8013249",r,TRUE,0.00,0.00,,,,,,
parking,119,"Parking Saint-Cloud
",Indigo,33 Avenue de Saint-Cloud,Versaille,78000,"48.805390,2.132530",885.887,TRUE,0.00,0.00,24.00,,TRUE,TRUE,1.9,408
parking,120,"Parking Marché Notre-Dame
",Indigo,70 Rue De La Paroisse,Versaille,78000,"48.806770,2.131050",885.887,TRUE,0.00,0.00,24.00,,TRUE,TRUE,2.0,726
parking,121,Parking Grand Siècle,Indigo,"7/9, Boulevard des Jeux olympiques",Versaille,78000,"48.804170,2.158000",916,TRUE,0.00,0.00,18.00,,TRUE,TRUE,1.8,86
parking,125,Parking Indigo Vincennes Marigny Château,Indigo,Cours Marigny,Vincennes,94300,"48.845770,2.439750",913,TRUE,0.00,0.00,14.85,,TRUE,TRUE,1.9,631
parking,74,Parking Neuville Universit,Indigo,Avenue de l'ambassadeur,Neuville-sur-Oise,95000,"49.0157660085, 2.07981466612",591,TRUE,0.00,0.00,12.30,,FALSE,TRUE,1.9,250
parking,100,"Parking 11 Novembre - Courcelle-sur-Yvette
",Ville,26 rue des gents,Gif-sur-Yvette,91190,"48.6998692, 2.0989423",577,TRUE,0.00,0.00,10.00,14.00,TRUE,TRUE,1.9,210
parking,101,Parking Gagny,Effia,Impasse Ancienne Cour Marchandise,,93220,"48.8834895111, 2.5243615515",e,TRUE,0.00,0.00,,,,,,
parking,136,Parking Gare d'Etampes,Ville,Place Gaston Beau,Étampes,91150,,271,TRUE,0.00,0.00,0,,FALSE,FALSE,1.9,50
parking,137,Parking Gare de Saint-Chéron,Ville,Gare de Saint-Chéron,Saint-Chéron,91530,"48.551370, 2.125380",811,TRUE,0.00,0.00,0,,FALSE,TRUE,2,120
parking,138,Parking gare de Brétigny-Sur-Orge RER,Effia,Place Pierre Vennin,Brétigny-Sur-Orge,91220,"48.606080, 2.302100",108,TRUE,0.00,0.00,9.50,21.00,TRUE,TRUE,1.9,230
parking,139,Parking PSR - Parc de la Gare,Indigo,"5, Rue de l'Industrie",Melun,77000,"48.526150, 2.655790",530,TRUE,0.00,0.00,10.90,,TRUE,TRUE,1.9,640
parking,140,Parking de la Gare de Verrière,Ville,Rue des Spahis Marocains,La Verrière,78320,"48.755820, 1.941710",193,TRUE,0.00,0.00,0,,FALSE,TRUE,1.9,730
parking,141,Parking Gare Routière,Ville,Rue de la Prairie,Rambouillet,78120,"48.644500, 1.833990",720,TRUE,0.00,0.00,12.20,,FALSE,TRUE,1.9,420
parking,142,Parking Gare  Sequoia,Ville,Place Ferdinand Prud'homme,Rambouillet,78120,"48.643468, 1.830839",720,TRUE,0.00,0.00,18.00,,TRUE,TRUE,1.9,385
parking,143,Parking gare de Villiers Neauphle,Effia,Place de la Gare,Villiers-Saint-Frédéric,78640,"48.815350, 1.876710",911,TRUE,0.00,0.00,12.30,,FALSE,TRUE,100,54
parking,144,Parking Indigo Saint-Germain-En-Laye Château,Indigo,22 Place Charles de Gaulle,Saint-Germain-en-Laye,78100,"48.897260, 2.095220",820,TRUE,0.00,0.00,17.80,,TRUE,TRUE,1.9,1124
parking,145,Parking Q-Park Marché Neuf,Q-Park,1 Place du Marché Neuf,Saint-Germain-en-Laye,78100,"48.898090, 2.089100",820,TRUE,0.00,0.00,11.30,,TRUE,TRUE,1.9,390
parking,146,Parking Place Berteaux,Saemes ,Place Maurice Berteaux,Chatou,78400,"48.886270, 2.155460",172,TRUE,0.00,0.00,24.50,,FALSE,TRUE,1.95,240
parking,147,Parking des Provinces Françaises,Semna,55 Allée d'Aquitaine,Nanterre,92000,"48.901380, 2.217020",578,TRUE,0.00,0.00,18.00,,TRUE,TRUE,1.9,455
parking,148,Parking PSR Gare,Indigo,Place du 8 mai 1945,Mantes-la-Jolie,78200,"48.990160, 1.703870",507,TRUE,0.00,0.00,8.50,,TRUE,TRUE,1.9,706
parking,149,Parking a la Gare,Ville,9 Rue du Pied de Chêne,Issou,78440,"48.978930, 1.784000",365,TRUE,0.00,0.00,0,,FALSE,TRUE,1.9,80
parking,150,Parking gare d'Aubergenville,Effia,Boulevard de la Gare,Aubergenville,78410,"48.972440, 1.846080",388,TRUE,0.00,0.00,4.7,,FALSE,TRUE,1.9,230
